epoch,train_loss,val_loss,val_mse,val_psnr,learning_rate,epoch_time
1,0.017216,0.005276,0.005276,24.49,0.0010000,176.35
2,0.009559,0.003609,0.003610,26.07,0.0009999,173.90
3,0.008188,0.003535,0.003537,26.24,0.0009998,167.85
4,0.007590,0.003011,0.003012,26.91,0.0009994,166.34
5,0.007183,0.003558,0.003560,26.22,0.0009990,165.25
6,0.006776,0.002644,0.002646,27.84,0.0009985,164.56
7,0.006326,0.002667,0.002669,27.34,0.0009978,163.94
8,0.006300,0.003334,0.003336,26.12,0.0009970,163.83
9,0.005833,0.002434,0.002437,28.52,0.0009961,166.62
10,0.005793,0.002366,0.002367,28.23,0.0009950,172.66
11,0.005603,0.002468,0.002469,27.63,0.0009939,172.74
12,0.005475,0.002537,0.002539,28.04,0.0009926,172.18
13,0.005101,0.002364,0.002365,27.92,0.0009912,172.11
14,0.005213,0.003195,0.003196,26.21,0.0009896,177.37
15,0.004974,0.002573,0.002575,27.77,0.0009880,171.45
16,0.004952,0.002788,0.002786,27.78,0.0009862,167.88
17,0.004865,0.002354,0.002355,28.63,0.0009843,169.73
18,0.004702,0.002305,0.002305,28.25,0.0009823,178.71
19,0.004587,0.002183,0.002183,28.68,0.0009802,173.75
20,0.004520,0.002517,0.002517,27.57,0.0009779,165.27
21,0.004474,0.002520,0.002519,28.08,0.0009756,163.89
22,0.004430,0.002093,0.002094,28.71,0.0009731,167.98
